restaurant,location,cuisine,price,food_rating,service_rating,ambience_rating,value_rating,num_reviews,recommendation_percentage,chef,dining_style,dress_code,noise_level
Mari Vanna,Gramercy / Flatiron,Russian,$50 and over,4.7,4.5,4.7,4.3,1125,95%,,Casual Elegant,Business Casual,Moderate
McHale's Bar & Grill,Theater District / Times Square,Irish,$30 and under,4,4.4,4.2,3.8,294,95%,Chef Nick Rizzo,Casual Dining,Casual Dress,Moderate
Casa Mono,Union Square,Spanish,$31 to $50,4.6,4.4,4.4,4.2,1496,85%,,Casual Elegant,Smart Casual,Moderate
Zengo - NYC,Midtown East,Asian,$31 to $50,4.3,4.3,4.5,4.1,2072,85%,Richard Sandoval,Casual Elegant,Smart Casual,Moderate
Brasserie Athenee,Theater District / Times Square,French,$30 and under,3.6,4.1,3.9,3.6,684,74%,,Casual Dining,Casual Dress,Quiet
The National Bar & Dining Rooms,Midtown East,Contemporary American,$31 to $50,4.3,4.1,4.2,3.8,2462,73%,Rezart Gorencavic,Casual Dining,Smart Casual,Moderate
Obica Mozzarella Bar  Pizza e Cucina,Gramercy / Flatiron,Italian,$31 to $50,4.3,4.3,4.3,4,673,90%,Erind Halilaj,Casual Elegant,Casual Dress,Moderate
"Novitá - New York City, Manhattan",Gramercy / Flatiron,Italian,$31 to $50,4.7,4.6,4.5,4.3,1582,96%,Marco Fregonese,Casual Elegant,Smart Casual,Moderate
Landmarc at the Time Warner Center,Columbus Circle,Contemporary French,$31 to $50,4,4.1,4.1,3.7,2912,81%,Marc Murphy,Casual Dining,Casual Dress,Moderate
Otto Enoteca Pizzeria,Greenwich Village,Italian,$30 and under,4.4,4.3,4.3,4.3,5636,87%,Mario Batali,Casual Dining,Casual Dress,Moderate
The Wayfarer,Midtown West,American,$31 to $50,4.3,4.1,4.3,3.9,825,87%,,Casual Elegant,Smart Casual,Moderate
The Marshal,Hell's Kitchen,Farm-to-table,$31 to $50,4.5,4.5,4.1,4,325,89%,,Casual Dining,Business Casual,Moderate
Haswell Green's,Theater District / Times Square,American,$30 and under,4.1,4.3,4.6,4.1,67,95%,David Coleman,Casual Dining,Business Casual,Moderate
Jams - NYC,Midtown West,American,$30 and under,4.3,4.2,4.4,3.9,626,84%,Ginger Pierce,Casual Elegant,Smart Casual,Moderate
Zia Maria Ristorante and Pizzeria,Chelsea,Italian,$30 and under,3.9,3.7,3.7,3.8,115,68%,,Casual Dining,Business Casual,Moderate
elmo,Chelsea,American,$30 and under,4.3,4.4,4.3,4.2,444,91%,Phillip Basone,Casual Dining,Casual Dress,Moderate
Masseria dei Vini,Midtown West,Italian,$31 to $50,4.7,4.7,4.6,4.3,1504,99%,Pino Coladonato,Casual Elegant,Smart Casual,Moderate
Scarlatto,Theater District / Times Square,Italian,$30 and under,4.3,4.4,4.2,4.2,4101,89%,,Casual Dining,Casual Dress,Moderate
Club A Steakhouse,Midtown East,Steakhouse,$31 to $50,4.6,4.7,4.7,4.5,4226,92%,,Fine Dining,Casual Dress,Quiet
Le Rivage,Theater District / Times Square,French,$31 to $50,4.4,4.5,4.4,4.4,4580,95%,Paul Denamiel,Casual Elegant,Business Casual,Moderate
Sabai Thai Restaurant,NoMad,Thai,$30 and under,4.6,4.6,4.6,4.4,211,93%,,Casual Dining,Smart Casual,Moderate
Le Parisien,Murray Hill,French,$30 and under,4.7,4.6,4.4,4.5,1321,95%,Johnathan Masse,Casual Dining,Casual Dress,Moderate
Ulivo,NoMad,Italian,$30 and under,4.4,4.2,4.3,4,321,84%,Emanuel Concas,Casual Dining,Smart Casual,Moderate
Il Gattopardo,Midtown West,Italian,$50 and over,4.6,4.8,4.5,4.2,1237,93%,Vito Gnazzo,Fine Dining,Jacket Preferred,Moderate
Café Centro,Midtown East,French,$31 to $50,4.3,4.4,4.3,3.9,2148,95%,Christina Towers,Casual Elegant,Casual Dress,Moderate
La Goulue,Upper East Side,French,$50 and over,4.5,4.5,4.5,4,376,91%,Antoine Camin,Casual Dining,Business Casual,Moderate
Lugo Cucina,Midtown West,Italian,$31 to $50,4.3,4.2,4.1,4,1644,88%,Paolo Dorigato,Casual Elegant,Business Casual,Moderate
Nizza - NYC,Midtown West,Italian,$30 and under,4.3,4.5,4.2,4.3,2779,97%,Andy D'Amico,Casual Dining,Casual Dress,Moderate
Toscana 49,Midtown East,Italian,$31 to $50,4.5,4.4,4.4,4.3,798,96%,,Casual Dining,Business Casual,Moderate
Bowery Road,Union Square,American,$30 and under,4.3,4.1,4.3,4,244,73%,Chef Ron Rosselli,Casual Dining,Casual Dress,Moderate
The Palm Too,Midtown East,Steakhouse,$50 and over,4.7,4.7,4.4,4.1,2297,88%,Mike Decker,Fine Dining,Business Casual,Moderate
Rosemary's Pizza,West Village,Italian,$30 and under,4.4,4.5,4.5,4.3,38,92%,Wade Moises,Casual Dining,Casual Dress,Moderate
Naples 45,Midtown East,Italian,$30 and under,4.2,4.2,3.8,3.8,1130,90%,Ben Dodaro,Casual Dining,Casual Dress,Moderate
Bobby Van's Park Avenue - 'The Original',Midtown East,Steakhouse,$31 to $50,4.6,4.6,4.3,4,1237,93%,Nile Medford,Casual Elegant,Business Casual,Moderate
Tempura Matsui,Midtown East,Japanese,$50 and over,4.8,4.9,4.8,4.4,220,93%,,Fine Dining,Business Casual,Quiet
Inakaya,Theater District / Times Square,Japanese,$31 to $50,4.3,4.3,4.2,3.8,1217,79%,,Casual Elegant,Casual Dress,Moderate
Sant Ambroeus - West Village,West Village,Italian,$31 to $50,4.7,4.6,4.7,4.3,585,90%,Andrea Bucciarelli,Casual Elegant,Smart Casual,Moderate
THE POOL,Midtown East,Seafood,$50 and over,4.6,4.8,4.7,3.8,300,88%,Rich Torrisi & Mario Carbone,Fine Dining,Business Casual,Quiet
Yakitori Tori Shin,Midtown West,Japanese,$50 and over,4.6,4.7,4.5,4.3,519,89%,"Shu Ikeda, Akihiko Urashi",Casual Elegant,Smart Casual,Moderate
Dutch Fred's,Theater District / Times Square,American,$31 to $50,4.4,4.2,4.4,4.2,525,92%,,Casual Dining,Smart Casual,Moderate
The Whitby Bar and Restaurant,Midtown West,American,$31 to $50,4.5,4.5,4.8,4.1,331,96%,Anthony Paris,Casual Elegant,Business Casual,Quiet
Merakia (FKA Kat and Theo),Gramercy / Flatiron,Greek,$50 and over,4.2,4.1,4.5,3.7,304,73%,,Casual Elegant,Smart Casual,Moderate
Oceana,Midtown West,Seafood,$31 to $50,4.6,4.6,4.5,4,5001,88%,Bill Telepan,Casual Elegant,Smart Casual,Moderate
Rossini's Restaurant,Murray Hill,Italian,$31 to $50,4.6,4.7,4.6,4.3,1347,92%,Romano,Casual Elegant,Smart Casual,Moderate
Gotham Bar and Grill,Union Square,Contemporary American,$50 and over,4.7,4.7,4.7,4.2,9131,93%,Alfred Portale,Fine Dining,Smart Casual,Moderate
Buffalo Wild Wings - Times Square,Theater District / Times Square,American,$30 and under,3.2,3.1,3.2,3,111,42%,,Casual Dining,Business Casual,Moderate
Champignon,Chelsea,French,$30 and under,4.1,3.9,3.7,4,106,82%,,Casual Dining,Casual Dress,Quiet
El Camion,East Village,Mexican,$30 and under,4.5,4.3,4.3,4.3,182,84%,,Casual Dining,Casual Dress,Moderate
Il Cantinori,East Village,Italian,$50 and over,4.6,4.6,4.6,4.2,1566,84%,Frank Minieri,Fine Dining,Smart Casual,Moderate
DEGREZIA RESTAURANT,Midtown East,Italian,$31 to $50,4.7,4.6,4.6,4.3,747,91%,Vincenzo Vigliotti  ,Casual Elegant,Smart Casual,Quiet
The Houndstooth Pub,Midtown West,American,$30 and under,4.2,4.1,4.1,4.1,244,84%,,Casual Elegant,Casual Dress,Moderate
Rice N Bean - Hell's Kitchen,Hell's Kitchen,Brazilian,$30 and under,4.8,4.8,4.4,4.6,200,100%,Carlos Inacio,Casual Dining,Casual Dress,Moderate
48 Lounge,Rockefeller Center Midtown,Tapas / Small Plates,$30 and under,4.3,4.3,4.5,4.2,221,82%,,Casual Elegant,Business Casual,Moderate
Unagi-ya Hachibei,Midtown East,Japanese Speciality,$50 and over,4.6,4.5,4.3,3.9,11,100%,,Casual Elegant,Business Casual,Quiet
La Bergamote,Chelsea,French,$30 and under,4.4,4.4,4.1,4.2,96,80%,,Casual Dining,Casual Dress,Quiet
Nittis,Hell's Kitchen,Italian,$30 and under,4.5,4.5,4.4,4.2,22,100%,,Casual Dining,Business Casual,Moderate
Ruby Tuesday - Times Square,Theater District / Times Square,American,$30 and under,3.8,4.1,3.7,3.5,154,77%,Peter Glander,Casual Dining,Casual Dress,Moderate
Amaze44,Midtown East,Asian,$30 and under,4.1,4.1,3.6,4.3,145,100%,,Casual Dining,Casual Dress,Moderate
Patiala Indian Grill,Chelsea,Indian,$30 and under,4.6,4.6,3.8,4.5,31,100%,,Casual Dining,Casual Dress,Moderate
Chote Nawab,Murray Hill,Indian,$30 and under,4.5,4.3,4,4.2,226,94%,Shiva Natarajan,Casual Dining,Casual Dress,Moderate
Tenzan - 2nd Ave.,Upper East Side,Japanese,$30 and under,4.5,4.4,4.2,4.4,94,89%,,Casual Dining,Business Casual,Moderate
Ardesia Wine Bar,Midtown West,American,$31 to $50,4.4,4.6,4.6,4.2,157,93%,Bernardo Garcia,Casual Dining,Casual Dress,Moderate
The Zodiac Room at Neiman Marcus - Hudson Yards,Chelsea,American,$31 to $50,4.1,4.4,4.4,3.7,18,64%,Alex Pilas,Casual Dining,Smart Casual,Moderate
Sip Sak,Midtown East,Turkish,$30 and under,4.6,4.5,4.3,4.1,91,85%,Orhan Yegen,Casual Dining,Casual Dress,Moderate
Yakitori Tori Shin - Select Counter,Midtown West,Japanese,$50 and over,4.9,4.9,4.9,4.3,69,100%,"Shu Ikeda, Akihiko Urashi",Casual Elegant,Smart Casual,Quiet
Gossip Restaurant,Theater District / Times Square,American,$30 and under,4.4,4.1,4.2,4.3,351,100%,Richard Sullivan,Casual Dining,Casual Dress,Moderate
Grifone,Midtown East,Italian,$31 to $50,4.4,4.6,4.3,4.1,362,92%,,Casual Dining,Smart Casual,Quiet
Turkish Cuisine,Hell's Kitchen,Turkish,$31 to $50,4.5,4.4,4.2,4.1,144,97%,,Casual Elegant,Casual Dress,Quiet
The Pembroke Room - The Lowell New York,Upper East Side,Contemporary American,$50 and over,4.5,4.7,4.8,4.3,441,88%,Michael Fred,Fine Dining,Smart Casual,Quiet
Rye House,Union Square,American,$30 and under,4.1,4.3,4.1,4,181,92%,Michael Jannetta,Casual Dining,Casual Dress,Moderate
Mama Mia - 44sw,Hell's Kitchen,Italian,$30 and under,4.3,4.2,4.1,4.1,721,92%,Mama (Anna),Casual Dining,Casual Dress,Moderate
La Villetta,Midtown East,Italian,$30 and under,4.5,4.7,4.5,4.4,424,97%,,Casual Dining,Business Casual,Moderate
Iguana,Midtown West,Mexican,$30 and under,4.2,4.2,4.2,3.9,980,91%,,Casual Dining,Casual Dress,Moderate
Emmett O'Lunney's,Theater District / Times Square,American,$30 and under,4.2,4.2,4.1,4.1,34,88%,,Casual Dining,Smart Casual,Moderate
Crossroads American Kitchen and Bar,Midtown West,American,$30 and under,4.2,4.1,3.8,3.7,441,86%,Rienhold Heller,Casual Dining,Casual Dress,Moderate
Pippali,Gramercy / Flatiron,Contemporary Indian,$30 and under,4.3,4.1,3.9,4.2,384,78%,Peter Beck,Casual Elegant,Business Casual,Moderate
Tavern 29,Murray Hill,American,$30 and under,4,4,3.9,3.9,298,100%,Jamal Bland,Casual Dining,Casual Dress,Moderate
Bob's Steak & Chop House-New York,Midtown East,Steakhouse,$50 and over,4.2,4.4,4.1,3.8,193,73%,Lon Kivell,Casual Elegant,Business Casual,Quiet
Wined Up Wine Bar,Gramercy / Flatiron,Bar / Lounge / Bottle Service,$30 and under,4,4.1,4.2,4,172,81%,Matt Shoemaker,Casual Elegant,Smart Casual,Moderate
FARIDA Central Asian Cuisine & Grill,Midtown West,Russian,$30 and under,4.5,4.4,4.2,4.5,24,80%,,Casual Dining,Business Casual,Moderate
Porteno Restaurant,Chelsea,Argentinean,$31 to $50,4.5,4.6,4.5,4.3,367,92%,Julieta Vera,Casual Elegant,Casual Dress,Moderate
1 Nocello,Midtown West,Italian,$31 to $50,4.6,4.4,4.4,4.4,2077,92%,,Casual Elegant,Smart Casual,Moderate
Wagamama (Murray Hill - 39th Street),Murray Hill,Asian,$30 and under,4.4,4.2,4.3,4.2,35,92%,,Casual Dining,Casual Dress,Moderate
Big Daddy's - Gramercy Park,Gramercy / Flatiron,American,$30 and under,4.1,3.9,4.1,3.9,652,84%,,Casual Dining,Casual Dress,Moderate
Angelo's Pizza,Hell's Kitchen,Pizzeria,$30 and under,4.3,3.9,3.9,3.9,128,84%,Dom Pedro Clemente,Casual Dining,Casual Dress,Moderate
Chop Shop,Chelsea,Asian,$31 to $50,4.6,4.5,4.1,4.3,292,90%,Jason Li,Casual Dining,Casual Dress,Moderate
Nello,Upper East Side,Italian,$50 and over,4.5,4.5,4.5,3.6,250,76%,Chef Luis Caisaguano,Fine Dining,Jacket Preferred,Quiet
Tuscany Steakhouse,Midtown West,Steakhouse,$50 and over,4.7,4.8,4.6,4.5,167,93%,,Casual Dining,Business Casual,Quiet
BXL ZOUTE,Gramercy / Flatiron,Belgian,$30 and under,4.6,4.5,4.4,4.4,456,100%,Claes Klaas,Casual Dining,Business Casual,Moderate
Il Postino,Midtown East,Italian,$50 and over,4.6,4.6,4.6,4.1,560,91%,Luigi Russo,Fine Dining,Smart Casual,Quiet
Jubilee 1st Avenue,Midtown East,French,$31 to $50,4.6,4.5,4.4,4.2,1265,90%,France Master Chef Luc Holie,Casual Elegant,Smart Casual,Quiet
The Restaurant at Playboy Club,Midtown West,American,$31 to $50,4.3,4.5,4.7,3.9,61,100%,Chef Tabitha Yeh,Casual Elegant,Business Casual,Moderate
Planet Hollywood - Times Square,Theater District / Times Square,American,$30 and under,3.7,3.9,3.8,3.4,478,68%,,Casual Dining,Casual Dress,Moderate
Porsena,East Village,Italian,$30 and under,4.5,4.2,4.4,4.1,459,90%,,Casual Dining,Casual Dress,Moderate
kilo,Hell's Kitchen,Mediterranean,$30 and under,4.7,4.7,4.5,4.4,465,91%,,Casual Dining,Casual Dress,Moderate
Wine 30,Murray Hill,American,$31 to $50,4.5,4.5,4.5,4.3,532,92%,Esteban Flores,Casual Dining,Casual Dress,Moderate
White Oak Tavern,Greenwich Village,Comfort Food,$30 and under,4.4,4.5,4.5,4.3,359,95%,Justin Ottervanger,Casual Dining,Casual Dress,Moderate
Delice & Sarrasin,West Village,Vegan,$31 to $50,4.7,4.6,4.5,4.3,539,93%,Yvette Caron,Casual Dining,Casual Dress,Quiet
O'Lunney's Times Square Pub,Theater District / Times Square,Irish,$30 and under,4.3,4.5,4.4,4.3,632,97%,Raul Vega,Casual Dining,Casual Dress,Moderate
Strip House Speakeasy,Union Square,Steakhouse,$50 and over,4.6,4.5,4.5,4,267,88%,Andreas Seidel,Fine Dining,Business Casual,Moderate
Shinbashi,Midtown East,Sushi,$31 to $50,4.5,4.3,3.8,4,297,91%,,Casual Elegant,Casual Dress,Moderate
Wollensky’s Grill,Midtown East,Steakhouse,$31 to $50,4.6,4.5,4.4,4.1,439,91%,Elman Gallardo,Casual Dining,Business Casual,Moderate
PN wood fired pizza,Gramercy / Flatiron,Italian,$31 to $50,4.4,4.2,4.3,4.1,128,90%,Giacomo Baldi,Casual Dining,Casual Dress,Moderate
The Park,Chelsea,American,$30 and under,3.9,3.9,4.6,4,1755,74%,,Casual Dining,Casual Dress,Quiet
La Stanza,Murray Hill,Italian,$30 and under,4.2,4.5,4.3,4.4,262,88%,,Casual Dining,Casual Dress,Quiet
Txikito,Chelsea,Basque,$31 to $50,4.6,4.5,4.3,4.1,569,93%,Alex Raij & Eder Montero,Casual Dining,Casual Dress,Moderate
Da Tommaso NYC,Theater District / Times Square,Italian,$30 and under,4.3,4.2,4,4.1,816,89%,,Casual Elegant,Smart Casual,Moderate
Baby Brasa Organic,West Village,Peruvian,$31 to $50,4.4,4,4.4,4,159,81%,Franco Noriega,Casual Dining,Casual Dress,Moderate
Frankies 570 Spuntino,West Village,Italian,$30 and under,4.6,4.5,4.5,4.3,317,96%,Patrick Shaw-Kitch,Casual Dining,Casual Dress,Moderate
Sutton Inn,Midtown East,American,$30 and under,4.7,4.5,4.5,4.3,839,98%,Scott Grewe,Casual Elegant,Smart Casual,Quiet
Cellini,Midtown East,Italian,$31 to $50,4.5,4.4,4.2,4.2,1140,93%,Dino Arpaia,Fine Dining,Business Casual,Moderate
Empire Steakhouse - 237 West 54 Street off of Broadway,Midtown West,Steakhouse,$50 and over,4.3,4.4,4.2,4.2,838,86%,Jack Sinanaj,Fine Dining,Business Casual,Moderate
The Distillery,Theater District / Times Square,Gastro Pub,$30 and under,4.3,4.1,4.3,4.2,227,88%,,Casual Elegant,Casual Dress,Moderate
VinoTapa,Murray Hill,Tapas / Small Plates,$30 and under,4.5,4.4,4.3,4.4,254,96%,Michael Vassallo,Casual Dining,Casual Dress,Moderate
Mozzarella & Vino,Midtown West,Italian,$31 to $50,4.5,4.4,4.4,4.2,665,89%,Vito Gnazzo,Casual Dining,Smart Casual,Moderate
Kokage,Murray Hill,Japanese,$30 and under,4.7,4.6,4.7,4.3,58,92%,Hiroki Abe,Casual Dining,Casual Dress,Quiet
Freds Downtown at Barneys New York,Chelsea,American,$31 to $50,4.6,4.5,4.5,4,123,100%,,Casual Elegant,Business Casual,Moderate
L'Express,Gramercy / Flatiron,French,$30 and under,4.1,4.1,4.2,4,414,90%,,Casual Dining,Casual Dress,Moderate
Agern,Midtown East,Nordic,$31 to $50,4.5,4.5,4.3,4,398,82%,Gunnar Gíslason,Casual Dining,Smart Casual,Quiet
Bill's Townhouse,Midtown East,American,$31 to $50,4.6,4.6,4.6,4.1,342,93%,.,Casual Elegant,Smart Casual,Moderate
Majorelle,Upper East Side,French,$50 and over,4.7,4.8,4.9,4.2,321,95%,Richard Brower,Fine Dining,Jacket Preferred,Quiet
Gabriel's Bar & Restaurant,Columbus Circle,Italian,$50 and over,4.5,4.6,4.4,4.1,995,94%,Michael  DallaVerde,Casual Dining,Casual Dress,Moderate
Feast,East Village,Contemporary American,$31 to $50,4.5,4.6,4.6,4.2,642,94%,,Casual Dining,Casual Dress,Moderate
Tocqueville,Union Square,American,$50 and over,4.7,4.6,4.6,4.2,2532,90%,Executive Chef & Proprietor: Marco A Moreira,Casual Elegant,Business Casual,Quiet
Rahi,West Village,Contemporary Indian,$31 to $50,4.5,4.4,4.3,4.1,230,92%,Chintan Pandya,Casual Elegant,Casual Dress,Moderate
LE GRILL de Joël Robuchon,Meatpacking District,French,$50 and over,4.7,4.7,4.6,4.3,191,92%,Christophe Bellanca,Casual Elegant,Casual Dress,Quiet
SIDECAR at P.J. Clarke's,Midtown East,American,$31 to $50,4.5,4.5,4.6,4.1,627,91%,Timothy Walker,Casual Elegant,Business Casual,Moderate
Empellon Al Pastor (Murray Hill),Murray Hill,American,$30 and under,4,4,3.8,3.7,27,61%,,Casual Dining,Casual Dress,Moderate
Naoki Takahashi,Chelsea,Japanese,$31 to $50,4.4,4.3,4.6,4,167,85%,,Casual Elegant,Smart Casual,Quiet
Todd English at The Plaza Food Hall,Midtown West,Contemporary American,$31 to $50,4.5,4.3,4.3,4,769,86%,Shehu Fitzgerald,Casual Dining,Casual Dress,Moderate
Tender Restaurant,Midtown West,American,$31 to $50,4.4,4.3,4.4,4,596,90%,Madison Belem,Casual Elegant,Business Casual,Quiet
Tarallucci e Vino NoMad,NoMad,Italian,$31 to $50,4.4,4.4,4.3,4,166,87%,,Casual Elegant,Smart Casual,Moderate
Society Cafe,Greenwich Village,American,$31 to $50,4.3,4.3,4.6,4.1,233,89%,Manuel González Charles,Casual Elegant,Smart Casual,Moderate
Amaranth,Upper East Side,Mediterranean,$30 and under,4.6,4.5,4.4,4.2,452,90%,,Casual Dining,Business Casual,Moderate
Il Forno,Midtown West,Italian,$30 and under,4,3.8,4,4,398,83%,,Casual Dining,Casual Dress,Moderate
Le Coq Rico,Gramercy / Flatiron,Contemporary French,$31 to $50,4.4,4.4,4.3,3.8,1222,84%,Lucile Plaza,Casual Elegant,Casual Dress,Moderate
The Wilson,NoMad,Contemporary American,$30 and under,4.3,4.4,4.3,4,39,91%,Jeffrey Haskell- IGC Hospitality,Casual Elegant,Smart Casual,Moderate
Indochine,NoHo,Vietnamese,$50 and over,4.5,4.3,4.5,4.1,1645,80%,Huy Chi Le,Casual Elegant,Smart Casual,Moderate
Irvington,Union Square,Contemporary American,$30 and under,4.1,4,4.3,3.8,264,76%,Michael king ,Casual Elegant,Business Casual,Moderate
Esca,Theater District / Times Square,Italian,$30 and under,4.3,4.4,4.2,3.7,5184,79%,David Pasternack,Casual Elegant,Smart Casual,Moderate
Dos Caminos - Park,Gramercy / Flatiron,Mexican,$31 to $50,4.3,4.1,4.3,4,1740,80%,Ariel Fox,Casual Dining,Casual Dress,Moderate
David Burke Tavern,Upper East Side,Contemporary American,$30 and under,4.3,4.1,4.4,3.9,128,84%,David Burke,Casual Dining,Business Casual,Moderate
Sushi of Gari 46,Theater District / Times Square,Japanese,$50 and over,4.6,4.4,4,3.9,1450,72%,HIROKI TSUBOGUCHI,Fine Dining,Casual Dress,Moderate
Bottino,Chelsea,Italian,$31 to $50,4.4,4.3,4.3,4.2,1046,91%,Alessandro Prosperi,Fine Dining,Casual Dress,Moderate
Lillie's Times Square,Theater District / Times Square,American,$30 and under,4.2,4.3,4.7,4.2,1366,91%,Chef Chris Motta,Casual Dining,Casual Dress,Moderate
VERSA,Midtown West,American,$31 to $50,4.3,4.2,4.4,4,171,97%,Kevin Chun,Casual Dining,Smart Casual,Moderate
Chez Josephine,Theater District / Times Square,French,$31 to $50,4.3,4.4,4.6,4.2,5353,89%,Frank Diaz,Casual Dining,Casual Dress,Moderate
Saju Bistro,Theater District / Times Square,French,$31 to $50,4.3,4.4,4.3,4.1,3306,92%,Jose Calleja,Casual Dining,Business Casual,Moderate
Sangria 46,Theater District / Times Square,Spanish,$31 to $50,4.4,4.5,4.1,4.3,1422,90%,,Casual Dining,Casual Dress,Moderate
44 & X,Hell's Kitchen,American,$50 and over,4.6,4.6,4.5,4.2,1980,94%,Scott Hart,Casual Elegant,Business Casual,Moderate
Street Taco,Gramercy / Flatiron,Mexican,$30 and under,4.6,4.3,4.5,4.4,128,100%,Justin​ ​M​ ​Ottervanger ,Casual Dining,Casual Dress,Moderate
Farmer & The Fish - Gramercy,Gramercy / Flatiron,Farm-to-table,$31 to $50,4.2,4.1,4.2,3.8,710,73%,Michael Kaphan,Casual Elegant,Smart Casual,Moderate
Hearth,East Village,Italian,$50 and over,4.7,4.6,4.7,4.3,2498,97%,Marco Canora,Casual Elegant,Casual Dress,Moderate
The Brooklyn Diner Times Square,Theater District / Times Square,American,$30 and under,4.2,4.2,4.1,3.8,2208,88%,,Casual Dining,Casual Dress,Moderate
MIFUNE New York,Midtown East,Japanese,$31 to $50,4.5,4.3,4.4,4.1,172,80%,,Casual Elegant,Smart Casual,Quiet
Wagamama (Nomad - 5th Avenue),Gramercy / Flatiron,Asian,$30 and under,4.3,4.1,4.3,4.3,195,90%,Steven Mangelshot,Casual Dining,Casual Dress,Moderate
Serafina Broadway,Midtown West,Italian,$31 to $50,4.3,4.1,4,3.9,1145,85%,,Casual Elegant,Casual Dress,Moderate
Friend of a Farmer,Gramercy / Flatiron,American,$30 and under,4.5,4.4,4.5,4.1,1012,91%,,Casual Elegant,Casual Dress,Moderate
Riverpark,Murray Hill,American,$31 to $50,4.6,4.7,4.8,4.5,3417,96%,Tom Colicchio (Chef & Owner); Andrew Smith (Executive Chef),Casual Elegant,Smart Casual,Quiet
Bocca Di Bacco (Theatre District - 45th St.),Theater District / Times Square,Italian,$30 and under,4.4,4.3,4.2,4.1,2283,87%,Kristin Sollenne,Casual Dining,Casual Dress,Moderate
La Grenouille,Midtown East,French,$50 and over,4.8,4.8,4.8,4.3,2928,96%,Jean Christophe Guiony,Fine Dining,Jacket Required,Quiet
District Social,Theater District / Times Square,American,$30 and under,4.2,4.2,4,3.8,531,86%,Harrison Mosher,Casual Dining,Smart Casual,Moderate
STK - NYC - Meatpacking,Meatpacking District,Steakhouse,$50 and over,4.4,4.3,4.5,3.9,1863,81%,Aaron Taylor,Casual Elegant,Smart Casual,Moderate
Tavern on the Green,Midtown West,American,$31 to $50,4.5,4.5,4.8,4.2,8897,92%,Bill Peet,Casual Elegant,Smart Casual,Moderate
Morton's The Steakhouse - Midtown Manhattan,Midtown East,Steakhouse,$50 and over,4.6,4.6,4.6,4.3,3317,96%,,Fine Dining,Business Casual,Moderate
Cafe Cluny,West Village,French,$31 to $50,4.6,4.6,4.7,4.3,1233,99%,,Casual Elegant,Casual Dress,Moderate
Armani Ristorante 5th Avenue,Midtown East,Italian,$50 and over,4.6,4.6,4.7,4.2,1297,95%,Michele Brogioni,Fine Dining,Smart Casual,Moderate
Brazil Brazil,Theater District / Times Square,Brazilian,$31 to $50,4.4,4.3,4.2,4,332,89%,,Casual Dining,Casual Dress,Quiet
Strip House,Greenwich Village,Steakhouse,$50 and over,4.6,4.5,4.6,4,2733,88%,Andreas Seidel,Fine Dining,Business Casual,Moderate
The Little Beet Table,Gramercy / Flatiron,American,$31 to $50,4.6,4.4,4.4,4.2,1230,95%,Matthew Aita,Casual Dining,Casual Dress,Moderate
Uncle Nick's Greek Cuisine - Hell's Kitchen,Midtown West,Greek,$30 and under,4.2,4.3,3.6,4.1,737,87%,Anthony Manatakis,Casual Dining,Casual Dress,Moderate
Nick & Stef’s Steakhouse - New York,Midtown West,Steakhouse,$31 to $50,4.4,4.4,4.1,3.8,2191,88%,Daniel Maggio,Casual Elegant,Casual Dress,Moderate
La Ripaille,Greenwich Village,French,$30 and under,4.6,4.6,4.7,4.3,611,91%,,Casual Dining,Casual Dress,Quiet
Bricco Restaurant,Midtown West,Italian,$30 and under,4.3,4.3,4.3,4.1,654,87%,Nino Catuogno,Casual Dining,Casual Dress,Quiet
Sapphire,Lincoln Square,Indian,$30 and under,4.3,4.3,4.3,4.1,1511,91%,Vajay Bhargava/ Guman Saugh,Fine Dining,Business Casual,Quiet
Deux Amis,Midtown East,French,$30 and under,4.5,4.5,4.5,4.4,455,98%,,Casual Dining,Business Casual,Quiet
Tir Na Nog Irish Bar & Grill - Times Square,Midtown West,American,$31 to $50,4.4,4.3,4.4,4.4,276,94%,Luis Uruchima,Casual Elegant,Casual Dress,Moderate
Bouchon  at Time Warner Center,Columbus Circle,French American,$30 and under,4.4,4.2,4.2,3.9,361,90%,Thomas Keller,Casual Dining,Casual Dress,Moderate
Chelsea Ristorante,Chelsea,Italian,$30 and under,4.4,4.4,4.2,4.2,599,95%,,Casual Dining,Casual Dress,Moderate
Stout NYC Grand Central,Midtown East,American,$30 and under,4.3,4.2,4.2,4.1,41,100%,,Casual Dining,Casual Dress,Moderate
TGA NYC,Midtown West,American,$31 to $50,4.3,4.2,4.3,3.9,50,89%,Jose Leon,Fine Dining,Casual Dress,Moderate
San Pietro,Rockefeller Center Midtown,Italian,$50 and over,4.7,4.7,4.6,4,202,89%,,Casual Elegant,Smart Casual,Moderate
Sushi Damo,Midtown West,Japanese,$31 to $50,4.3,4,3.9,3.8,356,84%,,Fine Dining,Formal Attire,Moderate
Badshah Modern Indian Restaurant,Hell's Kitchen,Indian,$30 and under,4.6,4.4,4.2,4.2,148,93%,,Casual Dining,Smart Casual,Moderate
Numero 28 Pizzeria Napoletana - East Village,East Village,Italian,$30 and under,4.8,4.5,4.5,4.5,249,100%,,Casual Dining,Casual Dress,Moderate
